,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
335,1,1,F,60.0,1,0,75.25,C,First,woman,False,D,Cherbourg,yes,False
336,1,3,F,28.0,0,0,7.2292,C,Third,woman,False,C,Cherbourg,yes,True
337,1,1,F,24.0,0,0,69.3,C,First,woman,False,B,Cherbourg,yes,True
338,1,1,M,25.0,1,0,55.4417,C,First,man,True,E,Cherbourg,yes,False
339,0,3,M,18.0,1,0,6.4958,S,Third,man,True,C,Southampton,no,False
340,0,3,M,19.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True
341,0,1,M,22.0,0,0,135.6333,C,First,man,True,C,Cherbourg,no,True
342,0,3,F,3.0,3,1,21.075,S,Third,child,False,C,Southampton,no,False
343,1,1,F,28.0,1,0,82.1708,C,First,woman,False,C,Cherbourg,yes,False
344,1,3,F,22.0,0,0,7.25,S,Third,woman,False,C,Southampton,yes,True
345,0,1,M,27.0,0,2,211.5,C,First,man,True,C,Cherbourg,no,False
346,0,3,M,20.0,0,0,4.0125,C,Third,man,True,C,Cherbourg,no,True
347,0,3,M,19.0,0,0,7.775,S,Third,man,True,C,Southampton,no,True
348,1,1,F,42.0,0,0,227.525,C,First,woman,False,C,Cherbourg,yes,True
349,1,3,F,1.0,0,2,15.7417,C,Third,child,False,C,Cherbourg,yes,False
350,0,3,M,32.0,0,0,7.925,S,Third,man,True,C,Southampton,no,True
351,1,1,F,35.0,1,0,52.0,S,First,woman,False,C,Southampton,yes,False
352,0,2,M,18.0,0,0,73.5,S,Second,man,True,C,Southampton,no,True
353,0,3,M,1.0,5,2,46.9,S,Third,child,False,C,Southampton,no,False
354,1,2,F,36.0,0,0,13.0,S,Second,woman,False,C,Southampton,yes,True
355,0,3,M,28.0,0,0,7.7292,Q,Third,man,True,C,Queenstown,no,True
356,1,2,F,17.0,0,0,12.0,C,Second,woman,False,C,Cherbourg,yes,True
357,1,1,M,36.0,1,2,120.0,S,First,man,True,B,Southampton,yes,False
358,1,3,M,21.0,0,0,7.7958,S,Third,man,True,C,Southampton,yes,True
359,0,3,M,28.0,2,0,7.925,S,Third,man,True,C,Southampton,no,False
360,1,1,F,23.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False
361,1,3,F,24.0,0,2,16.7,S,Third,woman,False,G,Southampton,yes,False
362,0,3,M,22.0,0,0,7.7958,S,Third,man,True,C,Southampton,no,True
363,0,3,F,31.0,0,0,7.8542,S,Third,woman,False,C,Southampton,no,True
364,0,2,M,46.0,0,0,26.0,S,Second,man,True,C,Southampton,no,True
365,0,2,M,23.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True
366,1,2,F,28.0,0,0,12.65,S,Second,woman,False,C,Southampton,yes,True
367,1,3,M,39.0,0,0,7.925,S,Third,man,True,C,Southampton,yes,True
368,0,3,M,26.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True
369,0,3,F,21.0,1,0,9.825,S,Third,woman,False,C,Southampton,no,False
370,0,3,M,28.0,1,0,15.85,S,Third,man,True,C,Southampton,no,False
371,0,3,F,20.0,0,0,8.6625,S,Third,woman,False,C,Southampton,no,True
372,0,2,M,34.0,1,0,21.0,S,Second,man,True,C,Southampton,no,False
373,0,3,M,51.0,0,0,7.75,S,Third,man,True,C,Southampton,no,True
374,1,2,M,3.0,1,1,18.75,S,Second,child,False,C,Southampton,yes,False
375,0,3,M,21.0,0,0,7.775,S,Third,man,True,C,Southampton,no,True
376,0,3,M,28.0,0,0,6.8583,Q,Third,man,True,C,Queenstown,no,True
377,1,1,F,33.0,1,0,90.0,Q,First,woman,False,C,Queenstown,yes,False
378,1,3,M,44.0,0,0,7.925,S,Third,man,True,C,Southampton,yes,True
379,0,3,F,28.0,0,0,8.05,S,Third,woman,False,C,Southampton,no,True
380,1,2,F,34.0,1,1,32.5,S,Second,woman,False,C,Southampton,yes,False
381,1,2,F,18.0,0,2,13.0,S,Second,woman,False,C,Southampton,yes,False
382,0,3,F,10.0,0,2,24.15,S,Third,child,False,C,Southampton,no,False
383,0,3,M,21.0,0,0,7.7333,Q,Third,man,True,C,Queenstown,no,True
384,0,3,M,29.0,0,0,7.875,S,Third,man,True,C,Southampton,no,True
385,0,3,F,28.0,1,1,14.4,S,Third,woman,False,C,Southampton,no,False
386,0,3,M,18.0,1,1,20.2125,S,Third,man,True,C,Southampton,no,False
387,1,2,F,28.0,1,0,26.0,S,Second,woman,False,C,Southampton,yes,False
388,1,2,F,19.0,0,0,26.0,S,Second,woman,False,C,Southampton,yes,True
389,1,3,M,32.0,0,0,8.05,S,Third,man,True,E,Southampton,yes,True
390,1,1,M,28.0,0,0,26.55,S,First,man,True,C,Southampton,yes,True
391,1,2,F,42.0,1,0,26.0,S,Second,woman,False,C,Southampton,yes,False
392,0,3,M,17.0,0,0,7.125,S,Third,man,True,C,Southampton,no,True
393,0,1,M,50.0,1,0,55.9,S,First,man,True,E,Southampton,no,False
394,1,1,F,14.0,1,2,120.0,S,First,child,False,B,Southampton,yes,False
395,0,3,F,21.0,2,2,34.375,S,Third,woman,False,C,Southampton,no,False
396,1,2,F,24.0,2,3,18.75,S,Second,woman,False,C,Southampton,yes,False
397,0,1,M,64.0,1,4,263.0,S,First,man,True,C,Southampton,no,False
398,0,2,M,31.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True
399,1,2,F,45.0,1,1,26.25,S,Second,woman,False,C,Southampton,yes,False
400,0,3,M,20.0,0,0,9.5,S,Third,man,True,C,Southampton,no,True
401,0,3,M,25.0,1,0,7.775,S,Third,man,True,C,Southampton,no,False
402,1,2,F,28.0,0,0,13.0,S,Second,woman,False,C,Southampton,yes,True
403,1,3,M,28.0,0,0,8.1125,S,Third,man,True,C,Southampton,yes,True
404,1,1,M,4.0,0,2,81.8583,S,First,child,False,A,Southampton,yes,False
405,1,2,F,13.0,0,1,19.5,S,Second,child,False,C,Southampton,yes,False
406,1,1,M,34.0,0,0,26.55,S,First,man,True,C,Southampton,yes,True
407,1,3,F,5.0,2,1,19.2583,C,Third,child,False,C,Cherbourg,yes,False
408,1,1,M,52.0,0,0,30.5,S,First,man,True,C,Southampton,yes,True
409,0,2,M,36.0,1,2,27.75,S,Second,man,True,C,Southampton,no,False
410,0,3,M,28.0,1,0,19.9667,S,Third,man,True,C,Southampton,no,False
411,0,1,M,30.0,0,0,27.75,C,First,man,True,C,Cherbourg,no,True
412,1,1,M,49.0,1,0,89.1042,C,First,man,True,C,Cherbourg,yes,False
413,1,3,M,29.0,0,0,7.8958,C,Third,man,True,C,Cherbourg,yes,True
414,0,1,M,65.0,0,0,26.55,S,First,man,True,E,Southampton,no,True
415,1,1,F,28.0,1,0,51.8625,S,First,woman,False,D,Southampton,yes,False
416,1,2,F,50.0,0,0,10.5,S,Second,woman,False,C,Southampton,yes,True
417,1,1,M,48.0,0,0,26.55,S,First,man,True,E,Southampton,yes,True
418,0,3,M,34.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True
419,0,1,M,47.0,0,0,38.5,S,First,man,True,E,Southampton,no,True
420,0,2,M,48.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True
421,0,3,M,38.0,0,0,7.05,S,Third,man,True,C,Southampton,no,True
422,0,1,M,56.0,0,0,26.55,S,First,man,True,C,Southampton,no,True
423,0,3,M,28.0,0,0,7.725,Q,Third,man,True,C,Queenstown,no,True
424,1,3,F,1.0,2,1,19.2583,C,Third,child,False,C,Cherbourg,yes,False
425,0,3,M,38.0,0,0,8.6625,S,Third,man,True,C,Southampton,no,True
426,1,2,F,33.0,1,2,27.75,S,Second,woman,False,C,Southampton,yes,False
427,1,2,F,23.0,0,0,13.7917,C,Second,woman,False,D,Cherbourg,yes,True
428,0,3,F,22.0,0,0,9.8375,S,Third,woman,False,C,Southampton,no,True
429,0,1,M,28.0,0,0,52.0,S,First,man,True,A,Southampton,no,True
430,0,3,M,29.0,1,0,7.0458,S,Third,man,True,C,Southampton,no,False
431,0,3,M,22.0,0,0,7.5208,S,Third,man,True,C,Southampton,no,True
432,1,3,F,2.0,0,1,12.2875,S,Third,child,False,C,Southampton,yes,False
433,0,3,M,9.0,5,2,46.9,S,Third,child,False,C,Southampton,no,False
434,0,3,M,50.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True
435,1,3,F,63.0,0,0,9.5875,S,Third,woman,False,C,Southampton,yes,True
436,1,1,M,25.0,1,0,91.0792,C,First,man,True,B,Cherbourg,yes,False
437,1,1,F,35.0,1,0,90.0,S,First,woman,False,C,Southampton,yes,False
438,0,1,M,58.0,0,0,29.7,C,First,man,True,B,Cherbourg,no,True
439,1,3,M,9.0,1,1,15.9,S,Third,child,False,C,Southampton,yes,False
440,0,3,M,21.0,0,0,7.25,S,Third,man,True,C,Southampton,no,True
441,0,1,M,55.0,0,0,30.5,S,First,man,True,C,Southampton,no,True
442,0,1,M,71.0,0,0,49.5042,C,First,man,True,C,Cherbourg,no,True
443,0,3,M,28.0,0,0,14.4583,C,Third,man,True,C,Cherbourg,no,True
444,1,1,F,54.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False
445,0,3,M,28.0,0,0,15.1,S,Third,man,True,C,Southampton,no,True
446,0,1,F,25.0,1,2,151.55,S,First,woman,False,C,Southampton,no,False
447,0,3,M,24.0,0,0,7.7958,S,Third,man,True,C,Southampton,no,True
448,0,3,F,21.0,0,0,7.75,Q,Third,woman,False,C,Queenstown,no,True
449,0,3,F,28.0,0,0,7.6292,Q,Third,woman,False,C,Queenstown,no,True
450,0,3,F,37.0,0,0,9.5875,S,Third,woman,False,C,Southampton,no,True
451,1,1,F,16.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True
452,0,1,M,18.0,1,0,108.9,C,First,man,True,C,Cherbourg,no,False
453,1,2,F,33.0,0,2,26.0,S,Second,woman,False,C,Southampton,yes,False
454,0,3,M,28.0,0,0,22.525,S,Third,man,True,C,Southampton,no,True
455,1,3,M,26.0,0,0,56.4958,S,Third,man,True,C,Southampton,yes,True
456,1,3,M,29.0,0,0,7.75,Q,Third,man,True,C,Queenstown,yes,True
457,1,1,M,36.0,0,0,26.2875,S,First,man,True,E,Southampton,yes,True
458,1,1,F,54.0,1,0,59.4,C,First,woman,False,C,Cherbourg,yes,False
459,0,3,M,24.0,0,0,7.4958,S,Third,man,True,C,Southampton,no,True
460,0,1,M,47.0,0,0,34.0208,S,First,man,True,D,Southampton,no,True
461,1,2,F,34.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True
462,0,3,M,28.0,0,0,24.15,Q,Third,man,True,C,Queenstown,no,True
463,1,2,F,36.0,1,0,26.0,S,Second,woman,False,C,Southampton,yes,False
464,0,3,M,32.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True
465,1,1,F,30.0,0,0,93.5,S,First,woman,False,B,Southampton,yes,True
466,1,1,F,44.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False
467,0,3,M,40.0,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True
468,0,1,M,28.0,0,0,221.7792,S,First,man,True,C,Southampton,no,True
469,0,3,M,39.0,0,0,7.925,S,Third,man,True,C,Southampton,no,True
470,0,2,M,23.0,2,1,11.5,S,Second,man,True,C,Southampton,no,False
471,1,2,F,2.0,1,1,26.0,S,Second,child,False,C,Southampton,yes,False
472,0,3,M,17.0,1,1,7.2292,C,Third,man,True,C,Cherbourg,no,False
473,1,3,F,28.0,0,2,22.3583,C,Third,woman,False,C,Cherbourg,yes,False
474,0,3,F,30.0,0,0,8.6625,S,Third,woman,False,C,Southampton,no,True
475,1,2,F,7.0,0,2,26.25,S,Second,child,False,C,Southampton,yes,False
476,0,1,M,45.0,0,0,26.55,S,First,man,True,B,Southampton,no,True
477,1,1,F,30.0,0,0,106.425,C,First,woman,False,C,Cherbourg,yes,True
478,0,3,M,28.0,0,0,14.5,S,Third,man,True,C,Southampton,no,True
479,1,1,F,22.0,0,2,49.5,C,First,woman,False,B,Cherbourg,yes,False
480,1,1,F,36.0,0,2,71.0,S,First,woman,False,B,Southampton,yes,False
481,0,3,F,9.0,4,2,31.275,S,Third,child,False,C,Southampton,no,False
482,0,3,F,11.0,4,2,31.275,S,Third,child,False,C,Southampton,no,False
483,1,2,M,32.0,1,0,26.0,S,Second,man,True,C,Southampton,yes,False
484,0,1,M,50.0,1,0,106.425,C,First,man,True,C,Cherbourg,no,False
485,0,1,M,64.0,0,0,26.0,S,First,man,True,C,Southampton,no,True
486,1,2,F,19.0,1,0,26.0,S,Second,woman,False,C,Southampton,yes,False
487,1,2,M,28.0,0,0,13.8625,C,Second,man,True,C,Cherbourg,yes,True
488,0,3,M,33.0,1,1,20.525,S,Third,man,True,C,Southampton,no,False
489,1,2,M,8.0,1,1,36.75,S,Second,child,False,C,Southampton,yes,False
490,1,1,M,17.0,0,2,110.8833,C,First,man,True,C,Cherbourg,yes,False
491,0,2,M,27.0,0,0,26.0,S,Second,man,True,C,Southampton,no,True
492,0,3,M,28.0,0,0,7.8292,Q,Third,man,True,C,Queenstown,no,True
493,1,3,M,22.0,0,0,7.225,C,Third,man,True,C,Cherbourg,yes,True
494,1,3,F,22.0,0,0,7.775,S,Third,woman,False,C,Southampton,yes,True
495,1,1,F,48.0,1,0,39.6,C,First,woman,False,A,Cherbourg,yes,False
496,0,1,M,28.0,0,0,227.525,C,First,man,True,C,Cherbourg,no,True
497,1,1,F,39.0,1,1,79.65,S,First,woman,False,E,Southampton,yes,False
498,1,3,F,36.0,1,0,17.4,S,Third,woman,False,C,Southampton,yes,False
499,0,3,M,40.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True
500,0,2,M,28.0,0,0,13.5,S,Second,man,True,C,Southampton,no,True
501,0,3,M,24.0,2,0,24.15,S,Third,man,True,C,Southampton,no,False
502,0,3,M,19.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True
503,0,3,F,29.0,0,4,21.075,S,Third,woman,False,C,Southampton,no,False
504,1,3,M,32.0,0,0,7.8542,S,Third,man,True,C,Southampton,yes,True
505,1,2,M,62.0,0,0,10.5,S,Second,man,True,C,Southampton,yes,True
506,1,1,F,53.0,2,0,51.4792,S,First,woman,False,C,Southampton,yes,False
507,1,1,M,36.0,0,0,26.3875,S,First,man,True,E,Southampton,yes,True
508,0,3,M,16.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True
509,0,3,M,19.0,0,0,14.5,S,Third,man,True,C,Southampton,no,True
510,1,2,F,34.0,0,0,13.0,S,Second,woman,False,C,Southampton,yes,True
511,1,1,F,39.0,1,0,55.9,S,First,woman,False,E,Southampton,yes,False
512,0,3,F,28.0,1,0,14.4583,C,Third,woman,False,C,Cherbourg,no,False
513,1,3,M,32.0,0,0,7.925,S,Third,man,True,C,Southampton,yes,True
514,1,2,F,25.0,1,1,30.0,S,Second,woman,False,C,Southampton,yes,False
515,1,1,F,39.0,1,1,110.8833,C,First,woman,False,C,Cherbourg,yes,False
516,0,2,M,54.0,0,0,26.0,S,Second,man,True,C,Southampton,no,True
517,0,1,M,36.0,0,0,40.125,C,First,man,True,A,Cherbourg,no,True
518,0,3,M,28.0,0,0,8.7125,C,Third,man,True,C,Cherbourg,no,True
519,1,1,F,18.0,0,2,79.65,S,First,woman,False,E,Southampton,yes,False
520,0,2,M,47.0,0,0,15.0,S,Second,man,True,C,Southampton,no,True
521,1,1,M,60.0,1,1,79.2,C,First,man,True,B,Cherbourg,yes,False
522,0,3,M,35.0,0,0,7.125,S,Third,man,True,C,Southampton,no,True
523,1,1,F,52.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False
524,0,3,M,47.0,0,0,7.25,S,Third,man,True,C,Southampton,no,True
525,0,3,F,28.0,0,2,7.75,Q,Third,woman,False,C,Queenstown,no,False
526,0,2,M,37.0,1,0,26.0,S,Second,man,True,C,Southampton,no,False
527,0,3,M,36.0,1,1,24.15,S,Third,man,True,C,Southampton,no,False
528,1,2,F,28.0,0,0,33.0,S,Second,woman,False,C,Southampton,yes,True
529,0,3,M,49.0,0,0,0.0,S,Third,man,True,C,Southampton,no,True
530,1,1,M,49.0,1,0,56.9292,C,First,man,True,A,Cherbourg,yes,False
531,1,2,F,24.0,2,1,27.0,S,Second,woman,False,C,Southampton,yes,False
532,0,1,M,28.0,0,0,42.4,S,First,man,True,C,Southampton,no,True
533,0,3,M,44.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True
534,1,1,M,35.0,0,0,26.55,C,First,man,True,C,Cherbourg,yes,True
535,0,3,M,36.0,1,0,15.55,S,Third,man,True,C,Southampton,no,False
536,0,3,M,30.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True
537,1,1,M,27.0,0,0,30.5,S,First,man,True,C,Southampton,yes,True
538,1,2,F,22.0,1,2,41.5792,C,Second,woman,False,C,Cherbourg,yes,False
539,1,1,F,40.0,0,0,153.4625,S,First,woman,False,C,Southampton,yes,True
540,0,3,F,39.0,1,5,31.275,S,Third,woman,False,C,Southampton,no,False
541,0,3,M,28.0,0,0,7.05,S,Third,man,True,C,Southampton,no,True
542,1,2,F,24.0,1,2,65.0,S,Second,woman,False,C,Southampton,yes,False
543,0,3,M,34.0,1,1,14.4,S,Third,man,True,C,Southampton,no,False
544,0,3,F,26.0,1,0,16.1,S,Third,woman,False,C,Southampton,no,False
545,1,2,F,4.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False
546,0,2,M,26.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True
547,0,3,M,27.0,1,0,14.4542,C,Third,man,True,C,Cherbourg,no,False
548,1,1,M,42.0,1,0,52.5542,S,First,man,True,D,Southampton,yes,False
549,1,3,M,20.0,1,1,15.7417,C,Third,man,True,C,Cherbourg,yes,False
550,0,3,M,21.0,0,0,7.8542,S,Third,man,True,C,Southampton,no,True
551,0,3,M,21.0,0,0,16.1,S,Third,man,True,C,Southampton,no,True
552,0,1,M,61.0,0,0,32.3208,S,First,man,True,D,Southampton,no,True
553,0,2,M,57.0,0,0,12.35,Q,Second,man,True,C,Queenstown,no,True
554,1,1,F,21.0,0,0,77.9583,S,First,woman,False,D,Southampton,yes,True
555,0,3,M,26.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True
556,0,3,M,28.0,0,0,7.7333,Q,Third,man,True,C,Queenstown,no,True
557,1,1,M,80.0,0,0,30.0,S,First,man,True,A,Southampton,yes,True
558,0,3,M,51.0,0,0,7.0542,S,Third,man,True,C,Southampton,no,True
559,1,1,M,32.0,0,0,30.5,C,First,man,True,B,Cherbourg,yes,True
560,0,1,M,28.0,0,0,0.0,S,First,man,True,C,Southampton,no,True
561,0,3,F,9.0,3,2,27.9,S,Third,child,False,C,Southampton,no,False
562,0,2,M,31.0,1,1,26.25,S,Second,man,True,C,Southampton,no,False
563,0,3,F,41.0,0,5,39.6875,S,Third,woman,False,C,Southampton,no,False
564,0,3,M,28.0,1,0,16.1,S,Third,man,True,C,Southampton,no,False
565,0,3,F,2.0,3,2,27.9,S,Third,child,False,C,Southampton,no,False
566,1,3,M,28.0,0,0,56.4958,S,Third,man,True,C,Southampton,yes,True
567,1,1,M,48.0,1,0,76.7292,C,First,man,True,D,Cherbourg,yes,False
568,1,1,M,56.0,0,0,35.5,C,First,man,True,A,Cherbourg,yes,True
569,0,3,M,28.0,0,0,7.55,S,Third,man,True,C,Southampton,no,True
570,1,3,F,23.0,0,0,7.55,S,Third,woman,False,C,Southampton,yes,True
571,1,2,F,18.0,0,1,23.0,S,Second,woman,False,C,Southampton,yes,False
572,0,3,M,21.0,0,0,8.4333,S,Third,man,True,C,Southampton,no,True
573,1,3,F,28.0,0,0,7.8292,Q,Third,woman,False,C,Queenstown,yes,True
574,0,3,F,18.0,0,0,6.75,Q,Third,woman,False,C,Queenstown,no,True
575,0,2,M,24.0,2,0,73.5,S,Second,man,True,C,Southampton,no,False
576,0,3,F,32.0,1,1,15.5,Q,Third,woman,False,C,Queenstown,no,False
577,0,2,M,23.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True
578,0,1,M,58.0,0,2,113.275,C,First,man,True,D,Cherbourg,no,False
579,1,1,M,50.0,2,0,133.65,S,First,man,True,C,Southampton,yes,False
580,0,3,M,40.0,0,0,7.225,C,Third,man,True,C,Cherbourg,no,True
581,0,1,M,47.0,0,0,25.5875,S,First,man,True,E,Southampton,no,True
582,0,3,M,36.0,0,0,7.4958,S,Third,man,True,C,Southampton,no,True
583,1,3,M,20.0,1,0,7.925,S,Third,man,True,C,Southampton,yes,False
584,0,2,M,32.0,2,0,73.5,S,Second,man,True,C,Southampton,no,False
585,0,3,M,28.0,0,0,7.775,S,Third,man,True,C,Southampton,no,True
586,0,3,M,43.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True
587,1,1,F,28.0,1,0,52.0,S,First,woman,False,C,Southampton,yes,False
588,1,2,F,40.0,1,1,39.0,S,Second,woman,False,C,Southampton,yes,False
589,0,1,M,31.0,1,0,52.0,S,First,man,True,B,Southampton,no,False
590,0,2,M,70.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True
591,1,2,M,31.0,0,0,13.0,S,Second,man,True,C,Southampton,yes,True
592,0,3,M,18.0,0,0,7.775,S,Third,man,True,C,Southampton,no,True
593,1,3,F,18.0,0,0,9.8417,S,Third,woman,False,C,Southampton,yes,True
594,0,3,F,43.0,1,6,46.9,S,Third,woman,False,C,Southampton,no,False
595,1,1,M,36.0,0,1,512.3292,C,First,man,True,B,Cherbourg,yes,False
596,0,3,F,28.0,0,0,8.1375,Q,Third,woman,False,C,Queenstown,no,True
597,1,1,M,27.0,0,0,76.7292,C,First,man,True,D,Cherbourg,yes,True
598,0,3,M,20.0,0,0,9.225,S,Third,man,True,C,Southampton,no,True
599,0,3,M,14.0,5,2,46.9,S,Third,child,False,C,Southampton,no,False
600,0,2,M,60.0,1,1,39.0,S,Second,man,True,C,Southampton,no,False
601,0,2,M,25.0,1,2,41.5792,C,Second,man,True,C,Cherbourg,no,False
602,0,3,M,14.0,4,1,39.6875,S,Third,child,False,C,Southampton,no,False
603,0,3,M,19.0,0,0,10.1708,S,Third,man,True,C,Southampton,no,True
604,0,3,M,18.0,0,0,7.7958,S,Third,man,True,C,Southampton,no,True
605,1,1,F,15.0,0,1,211.3375,S,First,child,False,B,Southampton,yes,False
606,1,1,M,31.0,1,0,57.0,S,First,man,True,B,Southampton,yes,False
607,1,3,F,4.0,0,1,13.4167,C,Third,child,False,C,Cherbourg,yes,False
608,0,3,M,25.0,0,0,7.225,C,Third,man,True,C,Cherbourg,no,True
609,0,1,M,60.0,0,0,26.55,S,First,man,True,C,Southampton,no,True
610,0,2,M,52.0,0,0,13.5,S,Second,man,True,C,Southampton,no,True
611,1,3,F,28.0,0,0,7.7333,Q,Third,woman,False,C,Queenstown,yes,True
612,0,1,M,49.0,1,1,110.8833,C,First,man,True,C,Cherbourg,no,False
613,0,3,M,42.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True
614,1,1,F,18.0,1,0,227.525,C,First,woman,False,C,Cherbourg,yes,False
615,1,1,M,35.0,0,0,26.2875,S,First,man,True,E,Southampton,yes,True
616,0,3,F,18.0,0,1,14.4542,C,Third,woman,False,C,Cherbourg,no,False
617,0,3,M,25.0,0,0,7.7417,Q,Third,man,True,C,Queenstown,no,True
618,0,3,M,26.0,1,0,7.8542,S,Third,man,True,C,Southampton,no,False
619,0,2,M,39.0,0,0,26.0,S,Second,man,True,C,Southampton,no,True
620,1,2,F,45.0,0,0,13.5,S,Second,woman,False,C,Southampton,yes,True
621,1,1,M,42.0,0,0,26.2875,S,First,man,True,E,Southampton,yes,True
622,1,1,F,22.0,0,0,151.55,S,First,woman,False,C,Southampton,yes,True
623,1,1,F,24.0,0,0,49.5042,C,First,woman,False,C,Cherbourg,yes,True
624,0,1,M,28.0,0,0,26.55,S,First,man,True,C,Southampton,no,True
625,1,1,M,48.0,1,0,52.0,S,First,man,True,C,Southampton,yes,False
626,0,3,M,29.0,0,0,9.4833,S,Third,man,True,C,Southampton,no,True
627,0,2,M,52.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True
628,0,3,M,19.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True
629,1,1,F,38.0,0,0,227.525,C,First,woman,False,C,Cherbourg,yes,True
630,1,2,F,27.0,0,0,10.5,S,Second,woman,False,E,Southampton,yes,True
631,0,3,M,28.0,0,0,15.5,Q,Third,man,True,C,Queenstown,no,True
632,0,3,M,33.0,0,0,7.775,S,Third,man,True,C,Southampton,no,True
633,1,2,F,6.0,0,1,33.0,S,Second,child,False,C,Southampton,yes,False
634,0,3,M,17.0,1,0,7.0542,S,Third,man,True,C,Southampton,no,False
635,0,2,M,34.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True
636,0,2,M,50.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True
637,1,1,M,27.0,1,0,53.1,S,First,man,True,E,Southampton,yes,False
638,0,3,M,20.0,0,0,8.6625,S,Third,man,True,C,Southampton,no,True
639,1,2,F,30.0,3,0,21.0,S,Second,woman,False,C,Southampton,yes,False
640,1,3,F,28.0,0,0,7.7375,Q,Third,woman,False,C,Queenstown,yes,True
641,0,2,M,25.0,1,0,26.0,S,Second,man,True,C,Southampton,no,False
642,0,3,F,25.0,1,0,7.925,S,Third,woman,False,C,Southampton,no,False
643,1,1,F,29.0,0,0,211.3375,S,First,woman,False,B,Southampton,yes,True
644,0,3,M,11.0,0,0,18.7875,C,Third,child,False,C,Cherbourg,no,True
645,0,3,M,28.0,0,0,16.1,S,Third,man,True,C,Southampton,no,True
646,0,3,F,48.0,1,3,34.375,S,Third,woman,False,C,Southampton,no,False
647,1,1,M,35.0,0,0,512.3292,C,First,man,True,B,Cherbourg,yes,True
648,1,1,M,28.0,0,0,30.0,S,First,man,True,D,Southampton,yes,True
649,0,1,M,36.0,1,0,78.85,S,First,man,True,C,Southampton,no,False
650,1,1,F,21.0,2,2,262.375,C,First,woman,False,B,Cherbourg,yes,False
651,0,3,M,24.0,1,0,16.1,S,Third,man,True,C,Southampton,no,False
652,1,3,M,31.0,0,0,7.925,S,Third,man,True,C,Southampton,yes,True
653,0,1,M,70.0,1,1,71.0,S,First,man,True,B,Southampton,no,False
654,0,3,M,16.0,1,1,20.25,S,Third,man,True,C,Southampton,no,False
655,1,2,F,30.0,0,0,13.0,S,Second,woman,False,C,Southampton,yes,True
656,0,1,M,19.0,1,0,53.1,S,First,man,True,D,Southampton,no,False
657,0,3,M,31.0,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True
658,1,2,F,4.0,1,1,23.0,S,Second,child,False,C,Southampton,yes,False
659,1,3,M,6.0,0,1,12.475,S,Third,child,False,E,Southampton,yes,False
660,0,3,M,33.0,0,0,9.5,S,Third,man,True,C,Southampton,no,True
661,0,3,M,23.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True
662,1,2,F,48.0,1,2,65.0,S,Second,woman,False,C,Southampton,yes,False
663,1,2,M,1.0,1,1,14.5,S,Second,child,False,C,Southampton,yes,False
664,0,3,M,28.0,0,0,7.7958,S,Third,man,True,C,Southampton,no,True
665,1,1,F,33.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True
666,0,3,M,41.0,0,0,7.125,S,Third,man,True,C,Southampton,no,True
667,1,3,M,20.0,0,0,7.2292,C,Third,man,True,C,Cherbourg,yes,True
668,1,1,F,36.0,1,2,120.0,S,First,woman,False,B,Southampton,yes,False
669,0,3,M,16.0,0,0,7.775,S,Third,man,True,C,Southampton,no,True
670,1,1,F,51.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False
671,0,1,M,28.0,0,0,39.6,C,First,man,True,C,Cherbourg,no,True
